"Latest: Time (s)","Latest: Intensity (%)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/sÂ²)"
36.5,23.4100341797,-12.1474915939,-1.10537519293,-1.68607424653
36.55,15.4205322266,-12.217304764,-1.10537519293,2.00928336727
36.6,9.80834960938,-12.2696646415,-0.853272078753,4.76194771223
36.65,6.85119628906,-12.3045712266,-0.533295049221,5.45684732182
36.7,5.93566894531,-12.3220245191,-0.232710566933,4.39564404206
36.75,5.90515136719,-12.3220245191,-0.0581776417331,2.47793659234
36.8,5.90515136719,-12.3220245191,-0.00969627362219,0.975014180898
36.85,5.90515136719,-12.3220245191,0,0.274727752629
36.9,5.84411621094,-12.3220245191,0,0.048481368111
36.95,5.93566894531,-12.3220245191,0,0.005386818679
37,5.93566894531,-12.3220245191,0,0
37.05,5.93566894531,-12.3220245191,0,0
37.1,5.93566894531,-12.3220245191,0,0
37.15,5.96618652344,-12.3220245191,0,0
37.2,5.93566894531,-12.3220245191,0,0
37.25,5.96618652344,-12.3220245191,0,0
37.3,6.02722167969,-12.3220245191,0,-0.016160456037
37.35,6.05773925781,-12.3220245191,0,-0.123896829617
37.4,6.05773925781,-12.3220245191,0,-0.635644604121
37.45,6.05773925781,-12.3220245191,-0.0290888208666,-1.86922608161
37.5,6.05773925781,-12.3220245191,-0.135747830711,-3.80309398737
37.55,5.81359863281,-12.3220245191,-0.475117407487,-4.31484176188
37.6,3.34320068359,-12.3743843966,-0.717524248042,-2.06315155406
37.65,2.21557617188,-12.4092909817,-0.678739153553,0.220859565839
37.7,1.81884765625,-12.4441975667,-0.581776417331,0.474040043752
37.75,1.7578125,-12.4616508592,-0.572080143709,-0.576389598653
37.8,2.15454101563,-12.4965574443,-0.669042879931,-1.25512875221
37.85,3.03802490234,-12.5314640293,-0.727220521664,-1.24435511485
37.9,5.02166748047,-12.5663706144,-0.824183257886,-0.490200499789
37.95,7.76519775391,-12.6187304919,-0.814486984264,0.931919631466
38,11.2426757813,-12.653637077,-0.698131700798,1.65914015313
38.05,14.1082763672,-12.688543662,-0.581776417331,1.15277919731
38.1,16.4566040039,-12.7059969545,-0.562383870087,0.210085928481
38.15,19.2016601563,-12.7409035396,-0.62056151182,0.258567296592
38.2,23.2269287109,-12.7758101246,-0.552687596465,0.673352334874
38.25,26.4602661133,-12.7932634171,-0.523598775598,0.576389598653
38.3,29.1137695313,-12.8281700022,-0.494509954732,0.26934093395
38.35,31.7367553711,-12.8456232947,-0.446028586621,-0.953466906182
38.4,34.5718383789,-12.8630765872,-0.572080143709,-2.29478475725
38.45,38.2629394531,-12.8979831722,-0.775701889775,-1.76687652671
38.5,43.293762207,-12.9503430498,-0.814486984264,0.0969627362219
38.55,47.3510742188,-12.9852496348,-0.727220521664,1.51908286748
38.6,49.8809814453,-13.0201562199,-0.649650332687,2.64492797139
38.65,52.8091430664,-13.0550628049,-0.475117407487,3.69535761379
38.7,53.7857055664,-13.0725160974,-0.22301429331,3.55530032814
38.75,53.9077758789,-13.0725160974,-0.0581776417331,2.21936929575
38.8,53.938293457,-13.0725160974,-0.00969627362219,0.926532812787
38.85,54.1809082031,-13.0725160974,0,0.26934093395
38.9,54.39453125,-13.0725160974,0,0.048481368111
38.95,54.39453125,-13.0725160974,0,0.005386818679
39,54.4555664063,-13.0725160974,0,0
39.05,54.4555664063,-13.0725160974,0,0
39.1,54.4860839844,-13.0725160974,0,0
39.15,54.4250488281,-13.0725160974,0,-0.016160456037
39.2,54.5166015625,-13.0725160974,0,-0.129283648296
39.25,54.1213989258,-13.0725160974,0,-0.678739153553
39.3,54.2724609375,-13.0725160974,-0.0290888208666,-2.10085928481
39.35,53.8162231445,-13.0725160974,-0.145444104333,-4.53570132771
39.4,54.1519165039,-13.0725160974,-0.523598775598,-5.95782145897
39.45,56.103515625,-13.124875975,-0.901753446864,-4.23403948169
39.5,57.3837280273,-13.1772358526,-1.00841245671,-0.991174636935
39.55,56.9869995117,-13.2295957301,-0.979323635841,2.00928336727
39.6,55.8288574219,-13.2819556077,-0.785398163397,4.19633175094
39.65,54.638671875,-13.3168621927,-0.446028586621,3.9485380917
39.7,54.2419433594,-13.3168621927,-0.281191935044,1.50292241144
39.75,53.6636352539,-13.3343154852,-0.329673303155,-0.549455505257
39.8,52.7786254883,-13.3517687778,-0.387850944888,-1.53524332351
39.85,50.7049560547,-13.3692220703,-0.513902501976,-1.65914015313
39.9,48.0209350586,-13.4041286553,-0.610865238198,-0.689512790911
39.95,45.2453613281,-13.4390352404,-0.562383870087,0.010773637358
40,42.2271728516,-13.4564885329,-0.562383870087,-0.016160456037
40.05,38.5971069336,-13.4913951179,-0.610865238198,0.662578697516
40.1,35.1821899414,-13.526301703,-0.513902501976,1.56756423559
40.15,32.6812744141,-13.5437549955,-0.39754721851,1.55679059823
40.2,30.5160522461,-13.561208288,-0.349065850399,1.36286512579
40.25,28.7475585938,-13.5786615805,-0.300584482288,1.73455561464
40.3,27.2537231445,-13.596114873,-0.174532925199,2.04699109802
40.35,27.0706176758,-13.596114873,-0.048481368111,1.51908286748
40.4,27.0706176758,-13.596114873,-0.00969627362219,0.700286428269
40.45,27.131652832,-13.596114873,0,0.226246384518
40.5,27.1621704102,-13.596114873,0,0.043094549432
40.55,27.1011352539,-13.596114873,0,0.005386818679
40.6,27.375793457,-13.596114873,0,0
40.65,27.4353027344,-13.596114873,0,0
40.7,27.5268554688,-13.596114873,0,0
40.75,27.4353027344,-13.596114873,0,0
40.8,27.5573730469,-13.596114873,0,0
40.85,27.5268554688,-13.596114873,0,0
40.9,27.4047851563,-13.596114873,0,0
40.95,27.4353027344,-13.596114873,0,-0.016160456037
41,27.3147583008,-13.596114873,0,-0.123896829617
41.05,27.2232055664,-13.596114873,0,-0.635644604121
41.1,27.131652832,-13.596114873,-0.0290888208666,-1.87461290029
41.15,27.0095825195,-13.596114873,-0.135747830711,-3.8461885368
41.2,26.7959594727,-13.596114873,-0.475117407487,-4.53570132771
41.25,21.4584350586,-13.6484747506,-0.727220521664,-2.72034343289
41.3,17.7993774414,-13.6833813356,-0.727220521664,-1.06659009844
41.35,13.9877319336,-13.7182879207,-0.746613068909,-0.829570076565
41.4,10.1440429688,-13.7531945057,-0.824183257886,-0.576389598652
41.45,7.12585449219,-13.8055543833,-0.833879531508,0.043094549432
41.5,4.65545654297,-13.8404609683,-0.775701889775,0.0053868186789
41.55,2.94647216797,-13.8753675534,-0.833879531508,-0.021547274716
41.6,1.8798828125,-13.9277274309,-0.824183257886,0.635644604122
41.65,1.69677734375,-13.962634016,-0.736916795287,0.673352334875
41.7,2.24609375,-13.997540601,-0.717524248042,0.05386818679
41.75,3.22113037109,-14.032447186,-0.736916795287,-0.360916851493
41.8,5.29479980469,-14.0673537711,-0.814486984264,0.474040043752
41.85,7.97882080078,-14.1197136486,-0.766005616153,2.70956979553
41.9,11.8209838867,-14.1546202337,-0.513902501976,4.33100221791
41.95,13.591003418,-14.1720735262,-0.232710566933,3.99163264114
42,13.7130737305,-14.1720735262,-0.0581776417331,2.39713431215
42.05,13.6520385742,-14.1720735262,-0.00969627362219,0.96424054354
42.1,13.8046264648,-14.1720735262,0,0.274727752629
42.15,13.8046264648,-14.1720735262,0,0.048481368111
42.2,13.835144043,-14.1720735262,0,0.005386818679
42.25,13.835144043,-14.1720735262,0,0
42.3,13.8046264648,-14.1720735262,0,-0.005386818679
42.35,13.8046264648,-14.1720735262,0,-0.048481368111
42.4,13.7130737305,-14.1720735262,0,-0.263954115271
42.45,13.7741088867,-14.1720735262,-0.00969627362219,-0.888825082034
42.5,13.7130737305,-14.1720735262,-0.0581776417332,-2.03083064198
42.55,13.7741088867,-14.1720735262,-0.213318019688,-3.03816573495
42.6,15.2374267578,-14.1895268187,-0.436332312999,-2.6664752461
42.65,18.3181762695,-14.2244334038,-0.513902501976,-1.54063014219
42.7,21.8246459961,-14.2418866963,-0.552687596465,-0.948080087503
42.75,25.0579833984,-14.2767932813,-0.62056151182,-0.307048664703
42.8,29.296875,-14.3116998664,-0.562383870087,-0.21547274716
42.85,33.4136962891,-14.3291531589,-0.581776417331,-1.15816601598
42.9,37.2253417969,-14.3640597439,-0.698131700798,-1.70223470256
42.95,41.8914794922,-14.398966329,-0.814486984264,-1.1527791973
43,46.8322753906,-14.4513262065,-0.833879531508,-0.16160456037
43.05,51.8341064453,-14.4862327916,-0.775701889775,0.0107736373581
43.1,56.7428588867,-14.5211393766,-0.833879531508,0.247793659234
43.15,60.5560302734,-14.5734992542,-0.814486984264,1.59988514766
43.2,63.57421875,-14.6084058392,-0.678739153553,3.06509982835
43.25,65.6784057617,-14.6433124242,-0.48481368111,3.99701945981
43.3,66.5939331055,-14.6607657168,-0.22301429331,3.70074443247
43.35,66.9296264648,-14.6607657168,-0.0581776417331,2.25169020782
43.4,67.0822143555,-14.6607657168,-0.00969627362219,0.931919631466
43.45,67.9656982422,-14.6607657168,0,0.26934093395
43.5,67.8741455078,-14.6607657168,0,0.048481368111
43.55,68.0572509766,-14.6607657168,0,0.00538681867899
43.6,68.1793212891,-14.6607657168,0,0
43.65,68.6370849609,-14.6607657168,0,0
43.7,68.6981201172,-14.6607657168,0,0
43.75,68.7286376953,-14.6607657168,0,0
43.8,68.6065673828,-14.6607657168,0,0
43.85,68.6676025391,-14.6607657168,0,0
43.9,68.3624267578,-14.6607657168,0,0
43.95,68.4539794922,-14.6607657168,0,-0.005386818679
44,68.1182861328,-14.6607657168,0,-0.043094549432
44.05,68.0877685547,-14.6607657168,0,-0.231633203197
44.1,68.0572509766,-14.6607657168,-0.00969627362219,-0.743380977701
44.15,68.1488037109,-14.6607657168,-0.048481368111,-1.73455561464
44.2,68.0877685547,-14.6607657168,-0.184229198822,-2.6664752461
44.25,68.5760498047,-14.6782190093,-0.349065850399,-2.84424026251
44.3,69.6136474609,-14.6956723018,-0.504206228354,-2.23552975178
44.35,70.4971313477,-14.7305788868,-0.610865238198,-0.969627362219
44.4,70.3140258789,-14.7654854719,-0.562383870087,-0.479426862431
44.45,70.7107543945,-14.7829387644,-0.581776417331,-1.41673331258
44.5,69.8257446289,-14.8178453494,-0.70782797442,-2.32710566933
44.55,68.1488037109,-14.8527519345,-0.862968352375,-2.24630338914
44.6,65.3427124023,-14.905111812,-0.989019909463,-0.915759175429
44.65,61.164855957,-14.9574716896,-0.989019909463,1.19048692806
44.7,54.9133300781,-15.0098315672,-0.853272078753,2.98968436684
44.75,50.5523681641,-15.0447381522,-0.659346606309,4.01856673453
44.8,47.6547241211,-15.0796447372,-0.39754721851,3.85157535548
44.85,46.4660644531,-15.0796447372,-0.22301429331,2.58028614724
44.9,45.8862304688,-15.0970980298,-0.155140377955,1.45982786201
44.95,45.7641601563,-15.0970980298,-0.0775701889775,0.457879587715
45,44.270324707,-15.0970980298,-0.135747830711,0.0700286428271
45.05,43.1411743164,-15.1145513223,-0.126051557088,0.684125972232
45.1,43.2022094727,-15.1145513223,-0.0387850944888,0.851117351281
45.15,43.537902832,-15.1145513223,-0.00969627362219,0.47942686243
45.2,43.8735961914,-15.1145513223,0,0.183151835086
45.25,44.026184082,-15.1145513223,0,0.037707730753
45.3,44.0567016602,-15.1145513223,0,0.00538681867899
45.35,44.1787719727,-15.1145513223,0,0
45.4,43.9651489258,-15.1145513223,0,0
45.45,43.9346313477,-15.1145513223,0,0
45.5,44.1177368164,-15.1145513223,0,0
45.55,43.9041137695,-15.1145513223,0,0
45.6,43.8430786133,-15.1145513223,0,0
45.65,43.7515258789,-15.1145513223,0,0
45.7,43.6599731445,-15.1145513223,0,0
45.75,43.2632446289,-15.1145513223,0,-0.010773637358
45.8,43.049621582,-15.1145513223,0,-0.0808022801849
45.85,42.8985595703,-15.1145513223,0,-0.414785038283
45.9,42.6849365234,-15.1145513223,-0.0193925472444,-1.21742102145
45.95,42.8070068359,-15.1145513223,-0.0872664625997,-2.54796523517
46,42.7459716797,-15.1145513223,-0.31028075591,-3.15128892721
46.05,38.7802124023,-15.1494579073,-0.475117407487,-2.31094521329
46.1,35.2432250977,-15.1669111998,-0.542991322843,-1.19587374674
46.15,30.729675293,-15.2018177849,-0.610865238198,0.204699109802
46.2,27.2537231445,-15.2367243699,-0.513902501976,1.21203420277
46.25,24.8748779297,-15.2541776624,-0.407243492132,0.581776417332
46.3,22.1603393555,-15.271630955,-0.407243492132,-1.03426918637
46.35,18.7438964844,-15.2890842475,-0.533295049221,-2.25169020782
46.4,15.5426025391,-15.3239908325,-0.688435427176,-2.24630338914
46.45,11.7614746094,-15.3588974176,-0.814486984264,-1.00194827429
46.5,8.25347900391,-15.4112572951,-0.814486984264,0.737994159022
46.55,5.72204589844,-15.4461638801,-0.698131700798,1.58372469162
46.6,3.98406982422,-15.4810704652,-0.581776417331,0.96424054354
46.65,3.00750732422,-15.4985237577,-0.572080143709,-0.263954115271
46.7,2.09350585938,-15.5334303427,-0.659346606309,-0.544068686579
46.75,1.78833007813,-15.5683369278,-0.678739153553,0.274727752629
46.8,2.06298828125,-15.6032435128,-0.649650332687,1.55679059823
46.85,2.67333984375,-15.6381500979,-0.513902501976,2.6664752461
46.9,3.25164794922,-15.6556033904,-0.349065850399,3.02200527892
46.95,3.77044677734,-15.6730566829,-0.184229198822,2.70418297686
47,3.77044677734,-15.6730566829,-0.0484813681109,1.73994243332
47.05,3.77044677734,-15.6730566829,-0.00969627362219,0.743380977701
47.1,3.83148193359,-15.6730566829,0,0.231633203197
47.15,3.83148193359,-15.6730566829,0,0.043094549432
47.2,3.80096435547,-15.6730566829,0,0.00538681867899
47.25,3.80096435547,-15.6730566829,0,0
47.3,3.77044677734,-15.6730566829,0,0
47.35,3.77044677734,-15.6730566829,0,0
47.4,3.73992919922,-15.6730566829,0,0
47.45,3.77044677734,-15.6730566829,0,0
47.5,3.77044677734,-15.6730566829,0,0
47.55,3.77044677734,-15.6730566829,0,-0.005386818679
47.6,3.77044677734,-15.6730566829,0,-0.037707730753
47.65,3.80096435547,-15.6730566829,0,-0.193925472444
47.7,3.83148193359,-15.6730566829,-0.00969627362219,-0.571002779974
47.75,4.04510498047,-15.6730566829,-0.0387850944888,-1.34670466975
47.8,4.74700927734,-15.6730566829,-0.145444104333,-2.29478475725
47.85,4.74700927734,-15.6905099754,-0.242406840555,-3.66303670172
47.9,5.47790527344,-15.6905099754,-0.475117407487,-5.2575350307
47.95,7.39898681641,-15.7254165605,-0.901753446864,-4.16401083886
48,12.5228881836,-15.7952297305,-1.0471975512,-0.253180477913
48.05,18.1350708008,-15.8475896081,-0.862968352375,2.51564432309
48.1,21.8551635742,-15.8824961931,-0.630257785442,2.16550110896
48.15,24.9053955078,-15.8999494857,-0.581776417331,0.296275027345
48.2,28.2592773438,-15.9348560707,-0.659346606309,-0.775701889775
48.25,32.0404052734,-15.9697626557,-0.698131700798,-1.08275055448
48.3,35.7315063477,-16.0046692408,-0.746613068909,-1.45444104333
48.35,40.4586791992,-16.0395758258,-0.862968352375,-1.26051557088
48.4,45.5810546875,-16.0919357034,-0.950234814975,0.409398219604
48.45,49.9725341797,-16.1442955809,-0.843575805131,2.51025750441
48.5,52.7786254883,-16.179202166,-0.659346606309,3.75999943794
48.55,54.2114257813,-16.214108751,-0.39754721851,3.44217713588
48.6,54.638671875,-16.214108751,-0.242406840555,1.5891115103
48.65,55.3100585938,-16.2315620435,-0.232710566933,-0.350143214135
48.7,55.8898925781,-16.2315620435,-0.339369576777,-0.996561455614
48.75,56.7123413086,-16.2664686286,-0.426636039376,0.237020021876
48.8,57.3837280273,-16.2839219211,-0.329673303155,1.8207447135
48.85,57.7194213867,-16.3013752136,-0.184229198822,2.28939793857
48.9,57.780456543,-16.3013752136,-0.048481368111,1.65914015313
48.95,57.9940795898,-16.3013752136,-0.00969627362219,0.732607340343
49,57.9025268555,-16.3013752136,0,0.231633203197
49.05,58.4518432617,-16.3013752136,0,0.043094549432
49.1,57.8109741211,-16.3013752136,0,0.005386818679
49.15,58.6044311523,-16.3013752136,0,0
49.2,58.1161499023,-16.3013752136,0,0
49.25,58.1771850586,-16.3013752136,0,0
49.3,58.4823608398,-16.3013752136,0,-0.010773637358
49.35,58.1466674805,-16.3013752136,0,-0.0808022801849
49.4,58.1771850586,-16.3013752136,0,-0.414785038283
49.45,58.4823608398,-16.3013752136,-0.0193925472444,-1.21203420277
49.5,58.5433959961,-16.3013752136,-0.0872664625997,-2.51564432309
49.55,58.3297729492,-16.3013752136,-0.31028075591,-3.01123164156
49.6,58.3297729492,-16.3362817987,-0.465421133865,-2.05776473538
49.65,58.2077026367,-16.3537350912,-0.513902501976,-1.03965600505
49.7,57.5668334961,-16.3886416762,-0.533295049221,-0.592550054689
49.75,56.103515625,-16.4060949687,-0.552687596465,-0.576389598652
49.8,55.0048828125,-16.4410015538,-0.62056151182,-0.193925472444
49.85,52.9922485352,-16.4759081388,-0.562383870087,-0.0161604560372
49.9,50.7049560547,-16.4933614313,-0.572080143709,-0.64641824148
49.95,47.8988647461,-16.5282680164,-0.659346606309,-0.711060065627
50,45.4284667969,-16.5631746014,-0.678739153553,-0.226246384518
50.05,42.5323486328,-16.5980811865,-0.669042879931,-0.0215472747159
50.1,37.6220703125,-16.6329877715,-0.62056151182,-0.791862345812
50.15,35.1821899414,-16.650441064,-0.736916795287,-1.56756423559
50.2,30.9127807617,-16.7028009416,-0.901753446864,-0.0700286428268
50.25,23.5321044922,-16.7551608191,-0.804790710642,2.5641256912
50.3,19.8120117188,-16.7900674042,-0.562383870087,3.7707730753
50.35,16.9448852539,-16.8075206967,-0.358762124021,3.46372441059
50.4,16.3955688477,-16.8249739892,-0.193925472444,2.43484204291
50.45,16.487121582,-16.8249739892,-0.0872664625997,0.888825082034
50.5,16.3955688477,-16.8249739892,-0.135747830711,-0.156217741691
50.55,14.3218994141,-16.8424272817,-0.145444104333,-0.500974137147
50.6,14.3829345703,-16.8424272817,-0.126051557088,-1.73455561464
50.65,13.591003418,-16.8424272817,-0.319977029532,-2.8981084493
50.7,10.2966308594,-16.8773338668,-0.48481368111,-2.82269298779
50.75,8.58917236328,-16.8947871593,-0.591472690954,-2.62338069667
50.8,5.81359863281,-16.9296937443,-0.785398163397,-1.52446968616
50.85,3.34320068359,-16.9820536219,-0.804790710642,0.624870966763
50.9,2.30712890625,-17.0169602069,-0.688435427176,2.09008564745
50.95,1.78833007813,-17.051866792,-0.53329504922,2.21936929575
51,1.69677734375,-17.0693200845,-0.407243492132,1.03426918637
51.05,1.72729492188,-17.086773377,-0.407243492132,-0.554842323937
51.1,1.97143554688,-17.1042266695,-0.513902501976,-1.10968464787
51.15,3.03802490234,-17.1391332546,-0.601168964576,-0.134670466975
51.2,4.59442138672,-17.1740398396,-0.523598775598,0.878051444676
51.25,5.56945800781,-17.1914931321,-0.436332312999,0.700286428269
51.3,7.27844238281,-17.2089464247,-0.475117407487,0.867277807318
51.35,9.56420898438,-17.2438530097,-0.426636039376,2.22475611443
51.4,11.7614746094,-17.2613063022,-0.213318019688,2.86040071855
51.45,12.0346069336,-17.2613063022,-0.0581776417332,1.99312291123
51.5,12.0651245117,-17.2613063022,-0.00969627362219,0.883438263355
51.55,11.9735717773,-17.2613063022,0,0.263954115271
51.6,11.9735717773,-17.2613063022,0,0.048481368111
51.65,11.9430541992,-17.2613063022,0,0.005386818679
51.7,12.0040893555,-17.2613063022,0,0
51.75,11.9735717773,-17.2613063022,0,-0.00538681867899
51.8,11.9735717773,-17.2613063022,0,-0.037707730753
51.85,11.9735717773,-17.2613063022,0,-0.199312291123
51.9,11.9430541992,-17.2613063022,-0.00969627362219,-0.603323692047
51.95,12.0040893555,-17.2613063022,-0.0387850944888,-1.4867619554
52,11.9735717773,-17.2613063022,-0.155140377955,-2.56951250988
52.05,12.126159668,-17.2787595947,-0.271495661421,-3.98624582246
52.1,13.4078979492,-17.2787595947,-0.552687596465,-5.28446912409
52.15,17.7993774414,-17.3311194723,-0.901753446864,-4.65421133865
52.2,24.2340087891,-17.3834793499,-1.01810873033,-3.29673303155
52.25,29.6310424805,-17.4183859349,-1.28960439175,-0.366303670172
52.3,50.7965087891,-17.52310569,-1.28960439175,6.21100193688
52.35,34.0850830078,-17.5929188601,-0.504206228354,9.43231950692
52.4,42.4407958984,-17.5580122751,0.0387850944887,5.60767824483
52.45,50.2166748047,-17.5580122751,0.0387850944888,1.41673331258
52.5,54.3029785156,-17.5580122751,0.0193925472444,-0.193925472444
52.55,44.6060180664,-17.5580122751,-0.00969627362219,-0.80263598317
52.6,43.049621582,-17.5580122751,-0.0484813681109,-1.14739237863
52.65,45.5200195313,-17.5580122751,-0.155140377955,-0.74876779638
52.7,51.8341064453,-17.5754655676,-0.213318019688,1.29822330164
52.75,53.2669067383,-17.5929188601,-0.0193925472444,3.31289348758
52.8,53.2669067383,-17.5754655676,0.184229198822,3.91621717963
52.85,54.2114257813,-17.5754655676,0.407243492132,3.19438347664
52.9,48.4786987305,-17.5405589825,0.649650332687,-0.344756395456
52.95,41.4642333984,-17.488199105,0.465421133865,-5.10131728901
53,37.1337890625,-17.4707458125,-0.106659009844,-5.41375277239
53.05,20.3918457031,-17.52310569,-0.290888208666,-1.93925472444
53.1,6.33239746094,-17.52310569,-0.0969627362219,-1.40595967522
53.15,1.30004882813,-17.5056523975,-0.290888208666,-3.06509982835
53.2,2.18505859375,-17.5405589825,-0.659346606309,-0.80263598317
53.25,2.1240234375,-17.6103721526,-0.407243492132,2.10085928481
53.3,2.18505859375,-17.5754655676,-0.213318019688,1.26051557088
53.35,2.18505859375,-17.6103721526,-0.339369576777,1.08813737316
53.4,2.18505859375,-17.6278254451,-0.184229198822,1.97157563651
53.45,2.21557617188,-17.6278254451,-0.0581776417331,1.55679059823
53.5,2.21557617188,-17.6278254451,-0.00969627362219,0.786475527133
53.55,2.21557617188,-17.6278254451,0,0.247793659234
53.6,2.21557617188,-17.6278254451,0,0.048481368111
53.65,2.21557617188,-17.6278254451,0,0.00538681867899
53.7,2.21557617188,-17.6278254451,0,0
53.75,2.24609375,-17.6278254451,0,0
53.8,2.21557617188,-17.6278254451,0,0
53.85,2.21557617188,-17.6278254451,0,0
53.9,2.21557617188,-17.6278254451,0,0
53.95,2.21557617188,-17.6278254451,0,0
54,2.21557617188,-17.6278254451,0,0
54.05,2.21557617188,-17.6278254451,0,0
54.1,2.21557617188,-17.6278254451,0,0
54.15,2.21557617188,-17.6278254451,0,0
54.2,2.21557617188,-17.6278254451,0,0
54.25,2.21557617188,-17.6278254451,0,0
54.3,2.18505859375,-17.6278254451,0,0
54.35,2.21557617188,-17.6278254451,0,0
54.4,2.18505859375,-17.6278254451,0,0
54.45,2.18505859375,-17.6278254451,0,0
54.5,2.18505859375,-17.6278254451,0,0
54.55,2.18505859375,-17.6278254451,0,0
54.6,2.1240234375,-17.6278254451,0,0
54.65,2.15454101563,-17.6278254451,0,0
